is_working,state,city,street,country
working,NJ,Newark,"621-635 Broadway",USA
working,NY,"New York","839 Westche Ster Avenue",USA
working,NJ,Newark,"101-115 Clinton Ave",USA
working,NY,Bronx,"3279 3rd Avenue",USA
working,NY,Bronx,"875 Garrison Ave",USA
working,NY,Brooklyn,"606 Neptune Ave",USA
broken,NY,Brooklyn,"1403 Mermaid Avenue",USA
working,NY,"Howard Beach","159-40 Cross Bay Blvd",USA
working,NY,Bronx,"925 Hunts Point Blvd",USA
working,NY,Bronx,"86 E 167th St",USA
working,NY,"New York","4040 Broadway",USA
working,NY,"Staten Island","1815 Forest Ave",USA
working,NJ,Belleville,"663 Washington Ave",USA
working,NJ,Newark,"188 Springfield Avenue",USA
working,NY,"South Richmond Hill","119-05 Liberty Ave",USA
broken,NY,Flushing,"40-18 Main Street",USA
working,NY,Flushing,"3001 Stratton St",USA
working,NJ,Newark,"334 W Market St",USA
working,NY,Bronx,"101 E 170th St",USA
working,NJ,"Little Ferry","319 Route 46 East",USA
working,NY,Jamaica,"138-32 Jamiaca Ave",USA
working,NJ,Elizabeth,"819-835 North Ave",USA
working,NJ,"Fort Lee","2152 Lemoine Avenue",USA
working,NY,"New York","4259 Broadway",USA
working,NY,Flushing,"72-69 Kissena Blvd",USA
working,NJ,Newark,"872-934 Frelinghuysen",USA
working,NY,Bronx,"1600 Boston Rd",USA
working,NY,Bronx,"1540 Westchester Ave",USA
working,NJ,Belleville,"173 Franklin Street",USA
working,NY,Bronx,"1745 University Ave",USA
broken,NY,"Staten Island","2154 Hylan Blvd",USA
working,NJ,"Hasbrouck Heights","329 Rte 17 South",USA
working,NY,Jamaica,"159-01 Jamaica Avenue",USA
working,NY,Bronx,"1865 Bruckner Blvd",USA
working,NY,Bronx,"599 E Tremont Ave",USA
working,NY,"Staten Island","1660 Richmond Ave",USA
working,NY,Bronx,"2065 Jerome Ave",USA
working,NY,Bronx,"1101 E Tremont Ave",USA
working,NJ,Irvington,"783 Springfield Ave",USA
working,NY,Jamaica,"114-01 Sutphin Blvd",USA
working,NY,Manhattan,"208 Dyckman St",USA
working,NY,Bronx,"1982 Westchester Avenue",USA
working,NJ,"East Orange","375-379 Central",USA
working,NJ,Elizabeth,"33 Broad St",USA
working,NJ,Elizabeth,"420-34 Rte 1 N",USA
working,NY,"New York","608 West 207th Street",USA
broken,NJ,Newark,"915 18th Ave",USA
working,NY,Whitestone,"160-11 Willets Point Blvd",USA
working,NY,Bronx,"36 W Fordham Rd",USA
working,NJ,Bloomfield,"425 Broad Street Ctr",USA
working,NY,Jamaica,"181-25 Hillside Avenue",USA
working,NJ,Hackensack,"193 Essex",USA
working,NJ,Garfield,"180 Passaic St",USA
working,NY,Bronx,"2505 Southern Blvd",USA
working,NY,Bronx,"372 E Fordham Rd",USA
working,NY,Bronx,"2630 Jerome Ave",USA
working,NJ,Hillside,"Rt 22 & Long Ave",USA
working,NJ,Orange,"145-147 Main St",USA
working,NY,Jamaica,"166-01 Baisley Boulevard",USA
working,NJ,Passaic,"15-31 Central Ave",USA
working,NY,Bronx,"2170 White Plains Rd",USA
working,NY,"New York","16 Westchester Square",USA
broken,NY,Bayside,"203-11 Northern Blvd",USA
working,NY,Jamaica,"Jfk Airport Terminal 1",USA
working,NJ,Hackensack,"343 River St",USA
broken,NY,Bronx,"1515 Williamsbridge Rd",USA
working,NY,Bronx,"3660 E Tremont Ave",USA
working,NJ,Passaic,"90 Dayton Avenue",USA
working,NY,Bronx,"1826 Eastchester Rd",USA
working,NY,Jamaica,"Jfk Terminal 4",USA
broken,NY,Jamaica,"166-05 Rockaway Blvd",USA
inactive,NJ,Englewood,"41/43 W Palisade Ave",USA
working,NY,Bronx,"2516 White Plains Rd",USA
working,NY,Hollis,"204-11 Hillside Ave",USA
working,NY,Bronx,"300 E 204th St",USA
working,NY,Bronx,"5765 Broadway",USA
working,NY,"Rockaway Beach","91-18 Beach Channel Dr",USA
working,NJ,"Saddle Brook","Rt 46 Saddle Brk Mall",USA
working,NY,Bronx,"3509 Webster Avenue",USA
working,NY,"Springfield Gardens","221-12 So Conduit Ave",USA
working,NY,"Staten Island","3267 Richmond Ave",USA
working,NY,Bronx,"1212 E Gun Hill Rd",USA
working,NY,"Queens Village","88-14 Springfield Blvd",USA
working,NY,"Cambria Heights","216-07 Linden Blvd",USA
working,NJ,"River Edge","1118 Main St",USA
working,NJ,Linden,"107 W Edgar Rd",USA
working,NJ,Bergenfield,"326 S Washington Ave",USA
working,NJ,"Roselle Park","100-108 Westfield Ave",USA
working,NY,Bronx,"2010 Bartow Ave",USA
working,NJ,Roselle,"251 Saint George Ave",USA
